HOTEL,LEAD_TIME,ARRIVAL_DATE_WEEK_NUMBER,STAYS_IN_WEEKEND_NIGHTS,STAYS_IN_WEEK_NIGHTS,ADULTS,CHILDREN,BABIES,MEAL,COUNTRY,MARKET_SEGMENT,DISTRIBUTION_CHANNEL,IS_REPEATED_GUEST,PREVIOUS_CANCELLATIONS,PREVIOUS_BOOKINGS_NOT_CANCELED,RESERVED_ROOM_TYPE,ASSIGNED_ROOM_TYPE,BOOKING_CHANGES,DEPOSIT_TYPE,AGENT,DAYS_IN_WAITING_LIST,CUSTOMER_TYPE,ADR,REQUIRED_CAR_PARKING_SPACES,TOTAL_OF_SPECIAL_REQUESTS,RESERVATION_STATUS,RESERVATION_STATUS_DATE,ARRIVAL_DATE,TOTAL_NIGHTS,REVENUE,MONTH,DAY_NAME,YEAR,BOOKING_DAY_TYPE,BOOKING_STATUS,CUSTOMER_SEGMENT,BOOKING_PLATFORM,DEVICE_TYPE,DISCOUNT_PERCENTAGE,TOTAL_STAY,TOTAL_REVENUE,Payment_Method,FINAL REVENUE
City Hotel,342,27,0,0,2,0,0,BB,PRT,Direct,Direct,0,0,0,C,C,3,No Deposit,0,0,Transient,0,0,0,Check-Out,01-07-2015,01-07-2015,0,0,July,Wednesday,2015,Weekday,cancelled,Individual,Mobile App,iOS,15,0,0,CASH,0
City Hotel,737,27,0,0,2,0,0,BB,PRT,Direct,Direct,0,0,0,C,C,4,No Deposit,0,0,Transient,0,0,0,Check-Out,01-07-2015,01-07-2015,0,0,July,Wednesday,2015,Weekday,cancelled,Business,Mobile App,Desktop,10,0,0,DEBIT CARD,0
City Hotel,7,27,0,1,1,0,0,BB,GBR,Direct,Direct,0,0,0,A,C,0,No Deposit,0,0,Transient,75,0,0,Check-Out,02-07-2015,01-07-2015,1,75,July,Wednesday,2015,Weekday,completed,Business,Website,Desktop,15,1,75,DEBIT CARD,63.75
Resort Hotel,13,27,0,1,1,0,0,BB,GBR,Corporate,Corporate,0,0,0,A,A,0,No Deposit,304,0,Transient,90,0,0,Check-Out,02-07-2015,01-07-2015,1,90,July,Wednesday,2015,Weekday,completed,Business,Mobile App,Android,10,1,75,UPI,67.5
City Hotel,14,27,0,2,2,0,0,BB,GBR,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,240,0,Transient,98,0,1,Check-Out,03-07-2015,01-07-2015,2,196,July,Wednesday,2015,Weekday,completed,Business,Partner Platform,Android,20,2,196,NET BANKING,156.8
Resort Hotel,0,27,0,2,2,0,0,BB,PRT,Direct,Direct,0,0,0,C,C,0,No Deposit,0,0,Transient,128.4,0,0,Check-Out,03-07-2015,01-07-2015,2,256.8,July,Wednesday,2015,Weekday,completed,Individual,Mobile App,iOS,20,2,214,UPI,171.2
City Hotel,9,27,0,2,2,0,0,FB,PRT,Direct,Direct,0,0,0,C,C,0,No Deposit,303,0,Transient,103,0,1,Check-Out,03-07-2015,01-07-2015,2,206,July,Wednesday,2015,Weekday,completed,Business,Mobile App,Android,20,2,206,UPI,164.8
Resort Hotel,85,27,0,3,2,0,0,BB,PRT,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,240,0,Transient,98.4,0,1,Canceled,06-05-2015,01-07-2015,3,295.2,July,Wednesday,2015,Weekday,cancelled,Individual,Partner Platform,iOS,15,3,246,DEBIT CARD,209.1
Resort Hotel,75,27,0,3,2,0,0,HB,PRT,Offline TA/TO,TA/TO,0,0,0,D,D,0,No Deposit,15,0,Transient,126.6,0,0,Canceled,22-04-2015,01-07-2015,3,379.8,July,Wednesday,2015,Weekday,cancelled,Business,Partner Platform,Android,15,3,316.5,DEBIT CARD,269.025
Resort Hotel,23,27,0,4,2,0,0,BB,PRT,Online TA,TA/TO,0,0,0,E,E,0,No Deposit,240,0,Transient,147.6,0,0,Canceled,23-06-2015,01-07-2015,4,590.4,July,Wednesday,2015,Weekday,cancelled,Business,Mobile App,Android,10,4,492,DEBIT CARD,442.8
City Hotel,35,27,0,4,2,0,0,HB,PRT,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,240,0,Transient,145,0,0,Check-Out,05-07-2015,01-07-2015,4,580,July,Wednesday,2015,Weekday,completed,Business,Mobile App,Android,20,4,580,DEBIT CARD,464
Resort Hotel,68,27,0,4,2,0,0,BB,USA,Online TA,TA/TO,0,0,0,D,E,0,No Deposit,240,0,Transient,116.4,0,3,Check-Out,05-07-2015,01-07-2015,4,465.6,July,Wednesday,2015,Weekday,completed,Business,Website,iOS,15,4,388,UPI,329.8
Resort Hotel,18,27,0,4,2,1,0,HB,ESP,Online TA,TA/TO,0,0,0,G,G,1,No Deposit,241,0,Transient,185.724,0,1,Check-Out,05-07-2015,01-07-2015,4,742.896,July,Wednesday,2015,Weekday,completed,Business,Mobile App,Desktop,10,4,619.08,UPI,557.172
